Area_Code,Area_Type,Area_Name,Gender,Age,measure,Date,Value
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Aug-21,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Sep-21,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Oct-21,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Nov-21,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Dec-21,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Jan-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Feb-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Mar-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Apr-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,May-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Jun-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Jul-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Aug-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Sep-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Oct-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Nov-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Dec-22,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Jan-23,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Feb-23,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Mar-23,0
E09000002,lacu,Barking and Dagenham,Male,Age unknown (clerical claims),Claimant count,Apr-23,0
