Date,Area Type,Area Name,Age,Economic Activity,Employment Status,Employment Type,Gender,Value
Apr 2020-Mar 2021,Local Authority,London Borough of Barking and Dagenham,All aged 16 & over,Active ,In employment ,Employees , Males ,36900
Apr 2020-Mar 2021,Local Authority,Barnet,All aged 16 & over,Active ,In employment ,Employees , Males ,87300
Apr 2020-Mar 2021,Local Authority,Bexley,All aged 16 & over,Active ,In employment ,Employees , Males ,47600
Apr 2020-Mar 2021,Local Authority,Brent,All aged 16 & over,Active ,In employment ,Employees , Males ,63700
Apr 2020-Mar 2021,Local Authority,Bromley,All aged 16 & over,Active ,In employment ,Employees , Males ,77300
Apr 2020-Mar 2021,Local Authority,Camden,All aged 16 & over,Active ,In employment ,Employees , Males ,51200
Apr 2020-Mar 2021,Local Authority,City of London,All aged 16 & over,Active ,In employment ,Employees , Males ,8800
Apr 2020-Mar 2021,Local Authority,Croydon,All aged 16 & over,Active ,In employment ,Employees , Males ,84400
Apr 2020-Mar 2021,Local Authority,Ealing,All aged 16 & over,Active ,In employment ,Employees , Males ,79000
Apr 2020-Mar 2021,Local Authority,Enfield,All aged 16 & over,Active ,In employment ,Employees , Males ,62200
Apr 2020-Mar 2021,Local Authority,Greenwich,All aged 16 & over,Active ,In employment ,Employees , Males ,68100
Apr 2020-Mar 2021,Local Authority,Hackney,All aged 16 & over,Active ,In employment ,Employees , Males ,68400
Apr 2020-Mar 2021,Local Authority,Hammersmith and Fulham,All aged 16 & over,Active ,In employment ,Employees , Males ,46700
Apr 2020-Mar 2021,Local Authority,Haringey,All aged 16 & over,Active ,In employment ,Employees , Males ,58200
Apr 2020-Mar 2021,Local Authority,Harrow,All aged 16 & over,Active ,In employment ,Employees , Males ,45200
Apr 2020-Mar 2021,Local Authority,Havering,All aged 16 & over,Active ,In employment ,Employees , Males ,61400
Apr 2020-Mar 2021,Local Authority,Hillingdon,All aged 16 & over,Active ,In employment ,Employees , Males ,75800
Apr 2020-Mar 2021,Local Authority,Hounslow,All aged 16 & over,Active ,In employment ,Employees , Males ,63500
