,Area Code,Area Name," Total recorded crime
 (excluding fraud) [note 2]",Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
0,K04000001,"ENGLAND AND WALES [note 3]
",5584888,2113383,602,573791,828673,709388,929,195315,75265,1724361,275919,191490,84429,405872,112406,77148,342343,510673,530875,177994,57413,591763,118519
1,E92000001,"ENGLAND
",5244058,1985379,569,541374,779763,662776,897,183284,72759,1634234,266133,184958,81175,393060,102428,68990,322189,481434,492156,166925,54853,542210,112258
2,E12000001,North East,291131,109982,42,30105,38801,40986,48,10004,2119,81339,14407,10423,3984,16552,1590,2891,23036,22863,39028,6683,2566,32024,7386
3,E23000013,Cleveland,84210,31386,11,7498,11141,12717,19,2660,963,23832,5174,4065,1109,4344,598,816,7396,5504,10704,2332,733,9495,2105
4,E23000008,Durham,64094,25737,9,5744,9511,10454,19,2291,202,15121,2972,2019,953,2530,166,387,4846,4220,9449,1490,450,7501,1853
5,E23000007,Northumbria,142827,52859,22,16863,18149,17815,10,5053,954,42386,6261,4339,1922,9678,826,1688,10794,13139,18875,2861,1383,15028,3428
6,E12000002,North West,797868,321726,79,77802,124941,118731,173,26764,7944,202091,39329,28789,10540,43583,10288,7223,39455,62213,76545,28977,8974,106101,18746
7,E23000006,Cheshire,87187,39409,5,9922,13458,16017,7,3744,398,18363,3152,2376,776,2770,409,991,4795,6246,7411,2347,673,12883,1959
8,E23000002,Cumbria,38912,16922,1,4946,6135,5812,28,1726,154,7953,1595,989,606,981,113,244,2065,2955,5009,1160,462,4705,821
9,E23000005,Greater Manchester,371988,141100,34,30960,54625,55401,80,11820,5104,103499,21252,16146,5106,24942,6941,3108,16495,30761,32980,10790,4906,52387,9402
10,E23000003,Lancashire,130378,55356,14,16922,21058,17352,10,4838,1041,37251,7460,4871,2589,7746,730,1283,8629,11403,15514,2498,1654,9273,2953
11,E23000004,Merseyside,169403,68939,25,15052,29665,24149,48,4636,1247,35025,5870,4407,1463,7144,2095,1597,7471,10848,15631,12182,1279,26853,3611
12,E12000003,Yorkshire and The Humber,625232,250113,65,64277,90143,95537,91,19868,6083,169870,33933,24486,9447,36403,5277,6229,41602,46426,63767,15486,5692,78290,16063
13,E23000012,Humberside,101234,39034,14,11673,13461,13883,3,3432,851,28009,5646,4269,1377,3931,499,2001,8356,7576,11830,1471,624,13307,2676
14,E23000009,North Yorkshire,49194,20638,5,6972,7732,5927,2,2233,209,13042,2261,1340,921,1701,276,1113,3559,4132,5389,1384,402,4986,911
15,E23000011,South Yorkshire,160404,57752,19,16482,20708,20527,16,4612,1952,49283,11374,8464,2910,13346,1136,904,10457,12066,18002,4082,1997,17576,5148
16,E23000010,West Yorkshire,314400,132689,27,29150,48242,55200,70,9591,3071,79536,14652,10413,4239,17425,3366,2211,19230,22652,28546,8549,2669,42421,7328
17,E12000004,East Midlands,419561,163816,35,47877,60611,55225,68,16538,3698,120516,20897,14368,6529,24156,3205,5308,30877,36073,43766,13086,4931,42545,10665
18,E23000018,Derbyshire,85806,35990,4,8965,14070,12933,18,3498,718,21789,3948,2703,1245,4742,718,614,4710,7057,8595,2072,955,10279,1910
19,E23000021,Leicestershire,106052,40788,8,13643,12808,14310,19,3980,782,28919,5432,3744,1688,6626,920,1864,4607,9470,10865,3407,865,13794,2652
20,E23000020,Lincolnshire,58858,23746,5,6961,9102,7670,8,2494,386,17227,3376,2303,1073,2583,171,890,5357,4850,6459,1462,570,5090,1424
21,E23000022,Northamptonshire,63761,27529,10,7340,10960,9211,8,2897,791,17166,3085,2076,1009,4028,347,496,3770,5440,6078,2097,1028,4481,1694
22,E23000019,Nottinghamshire,105084,35763,8,10968,13671,11101,15,3669,1021,35415,5056,3542,1514,6177,1049,1444,12433,9256,11769,4048,1513,8901,2985
23,E12000005,West Midlands,602496,250316,74,68354,93061,88718,109,20057,10596,179730,32989,23743,9246,54782,5824,4753,34091,47291,51632,13445,9983,55234,11503
24,E23000015,Staffordshire,98401,43547,12,12939,11951,18640,5,3899,985,26696,4440,3002,1438,6309,535,1080,5866,8466,9372,2397,920,8422,2163
25,E23000017,Warwickshire,41883,15650,4,4731,6073,4828,14,1641,364,14046,2314,1498,816,4716,259,437,2472,3848,3975,973,597,3648,989
26,E23000016,West Mercia,95006,38874,21,11286,13716,13804,47,4114,693,27407,5089,3446,1643,4799,488,794,7731,8506,8984,2063,1057,9907,1907
