,Area Code,Area Name,"Total recorded crime
 (excluding fraud) 
[note 2]",Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
0,K04000001,ENGLAND AND WALES [note 3],5402047,2014390,583,556730,817886,637605,1586,188893,81019,1778305,266489,183234,83255,380100,131453,66960,443995,489308,496736,181421,58130,488589,114564
1,E92000001,ENGLAND ,5059395,1889562,556,524340,769170,593961,1535,177382,78032,1676659,257182,177683,79499,366947,117735,59681,416122,458992,459534,170913,55249,443871,108193
2,E12000001,North East,285315,107079,31,30311,38963,37715,59,9869,2245,86034,14662,10577,4085,16029,1699,2483,29983,21178,36341,7428,2707,26136,7476
3,E23000013,Cleveland,76680,28584,13,7181,10693,10673,24,2523,798,22876,4590,3526,1064,4468,327,608,7560,5323,9502,2498,717,7121,2061
4,E23000008,Durham,64285,25055,5,5556,10289,9190,15,2304,236,18188,3181,2291,890,3159,154,412,7105,4177,9281,1384,463,5497,1877
5,E23000007,Northumbria,144350,53440,13,17574,17981,17852,20,5042,1211,44970,6891,4760,2131,8402,1218,1463,15318,11678,17558,3546,1527,13518,3538
6,E12000002,North West,731817,298593,72,74249,119914,104125,233,25736,7514,192063,33601,23403,10198,38026,9332,6354,45610,59140,68782,34030,8613,78411,18075
7,E23000006,Cheshire,78862,35453,3,9267,12698,13463,22,3710,412,18379,2975,2164,811,2549,306,877,5961,5711,6483,3302,771,8450,1902
8,E23000002,Cumbria,35563,15401,4,4607,6106,4635,49,1585,178,7632,1309,788,521,974,115,228,2250,2756,4336,1665,537,3340,889
9,E23000005,Greater Manchester,342652,132681,34,29072,53869,49608,98,11422,4690,95423,17022,12272,4750,20395,6602,2937,18402,30065,30089,14556,4556,40001,9234
10,E23000003,Lancashire,129406,54706,20,17061,20454,17151,20,4938,1128,38503,7347,4817,2530,7802,804,1154,10474,10922,14477,3090,1690,7875,2999
11,E23000004,Merseyside,145334,60352,11,14242,26787,19268,44,4081,1106,32126,4948,3362,1586,6306,1505,1158,8523,9686,13397,11417,1059,18745,3051
12,E12000003,Yorkshire and The Humber,590601,235878,53,59886,86475,89280,184,19297,6310,173360,34219,24822,9397,35047,4876,5515,50636,43067,56259,16840,5525,61533,15599
13,E23000012,Humberside,99045,41218,6,11502,13343,16361,6,3318,933,26882,5471,4269,1202,3364,467,1563,9055,6962,10182,1636,762,11518,2596
14,E23000009,North Yorkshire,47553,19203,0,5783,8351,5048,21,2038,225,14688,2364,1405,959,2061,237,1170,5001,3855,5122,1465,416,3433,963
15,E23000011,South Yorkshire,154606,54681,19,16016,19206,19420,20,4555,2011,50766,11117,8568,2549,12257,1076,885,14342,11089,15784,4845,2124,14817,5023
16,E23000010,West Yorkshire,289397,120776,28,26585,45575,48451,137,9386,3141,81024,15267,10580,4687,17365,3096,1897,22238,21161,25171,8894,2223,31765,7017
17,E12000004,East Midlands,402938,156744,60,47226,58253,51157,48,15753,3759,119158,19059,13383,5676,22425,2868,4701,39541,30564,40169,13872,5033,38288,10162
18,E23000018,Derbyshire,87951,37075,18,9356,14444,13234,23,3327,671,22385,3863,2750,1113,4323,630,648,6857,6064,8378,2467,1040,10737,1871
19,E23000021,Leicestershire,98607,37721,12,12569,12027,13113,0,3699,859,28159,5176,3630,1546,6720,853,1452,6607,7351,10236,3328,952,11339,2314
20,E23000020,Lincolnshire,55296,22955,13,6768,8791,7378,5,2443,375,15877,2820,1929,891,2082,163,742,5987,4083,5682,1610,572,4240,1542
21,E23000022,Northamptonshire,60092,25189,4,7210,10271,7701,3,2726,782,17372,3032,2076,956,4054,259,554,4729,4744,5267,2448,922,3781,1605
22,E23000019,Nottinghamshire,100992,33804,13,11323,12720,9731,17,3558,1072,35365,4168,2998,1170,5246,963,1305,15361,8322,10606,4019,1547,8191,2830
23,E12000005,West Midlands ,540973,219583,69,62385,86278,70638,213,19333,10250,172142,31152,22116,9036,47983,4457,4394,43103,41053,46176,12845,9143,40957,10544
24,E23000015,Staffordshire,86291,38143,12,10945,11394,15777,15,3392,802,23854,4527,3154,1373,5337,318,884,6028,6760,7905,2050,1027,7411,1707
25,E23000017,Warwickshire,39902,15021,6,4846,5814,4327,28,1662,390,13407,2238,1459,779,4083,257,514,2970,3345,3441,1061,661,3219,1040
26,E23000016,West Mercia,86600,34131,8,10500,12559,10958,106,3573,605,27481,4925,3348,1577,4409,344,751,9775,7277,8049,2237,1068,7529,1927
27,E23000014,West Midlands,328180,132288,43,36094,56511,39576,64,10706,8453,107400,19462,14155,5307,34154,3538,2245,24330,23671,26781,7497,6387,22798,5870
28,E12000006,East ,453714,175748,41,47964,80842,46583,318,17782,4199,144902,20768,13999,6769,33715,4197,6442,39901,39879,43430,14857,5312,36729,10755
29,E23000026,Bedfordshire,50307,18289,8,5008,8237,4972,64,1751,555,17300,2479,1574,905,4919,524,568,4314,4496,4380,1786,615,4522,1109
30,E23000023,Cambridgeshire,69069,24927,5,5588,12374,6869,91,2479,664,23003,3481,2186,1295,4274,850,2140,6267,5991,6892,1873,845,6590,1796
31,E23000028,Essex,154378,61476,13,14773,27898,18740,52,5573,1531,48770,7137,5247,1890,14156,1126,1453,12016,12882,13514,5637,1820,12694,3363
32,E23000027,Hertfordshire,74608,25930,4,8258,11970,5635,63,2486,866,30239,3929,2717,1212,6924,982,1006,8831,8567,7019,2165,563,3826,1514
33,E23000024,Norfolk,59471,25855,6,8171,11491,6156,31,3031,352,14024,1867,1173,694,1588,381,779,4967,4442,6564,1990,861,5070,1724
34,E23000025,Suffolk,45881,19271,5,6166,8872,4211,17,2462,231,11566,1875,1102,773,1854,334,496,3506,3501,5061,1406,608,4027,1249
35,E12000007,London,938020,252545,116,79701,112424,60169,135,24334,34465,452868,56263,38078,18185,103938,80938,16210,62077,133442,58385,37554,6059,60836,10974
