
"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 11 September 2024]"
"Analysis   :","standard"
"Area Type  :","regions"
"Area Name  :","London"
"Gender     :","Total"
"measure    :","Claimant count"

"Date","All categories: Age 16+","Age unknown (clerical claims)","Aged 16-24","Aged 16-17","Aged 18-24","Aged 18-21","Aged 25-49","Aged 25-29","Aged 30-34","Aged 35-39","Aged 40-44","Aged 45-49","Aged 50+","Aged 50-54","Aged 55-59","Aged 60-64","Aged 65+"

"January 2021",481755,10,79830,280,79550,37285,288230,70235,65780,57065,50290,44855,113685,43340,36975,27740,5630
"February 2021",506800,15,81635,300,81335,37850,304910,73510,69430,60775,53495,47700,120240,45915,39170,29305,5855
"March 2021",509070,15,81765,290,81475,38240,305790,73240,69475,61130,53850,48100,121500,46205,39650,29705,5935
"April 2021",504265,15,80280,270,80005,37735,302635,71760,68525,60795,53600,47955,121335,45950,39550,29865,5970
"May 2021",476050,15,74865,265,74600,35580,284975,67070,64370,57260,50905,45375,116195,43585,37925,28735,5950
"June 2021",440095,10,68885,245,68640,33180,262235,61895,59225,52460,46785,41865,108970,40370,35525,27295,5780
"July 2021",431135,10,64910,205,64705,31330,258420,59390,58590,52250,46685,41505,107800,39820,35210,27035,5730
"August 2021",411035,10,60480,195,60285,29355,247100,56355,56045,50225,44915,39560,103450,38095,33730,26060,5565
"September 2021",387505,5,56410,190,56215,27255,233000,53110,52710,47375,42575,37230,98090,35715,32105,24850,5425
"October 2021",372890,5,52085,200,51885,25155,225950,50870,51035,46295,41580,36170,94855,34390,31055,24085,5325
"November 2021",356170,5,48825,220,48605,23650,215825,47690,48880,44660,39895,34700,91515,32950,29895,23510,5160
"December 2021",342080,5,45365,205,45155,21940,207830,45280,46920,43415,38715,33500,88885,31870,28955,22975,5085
"January 2022",330310,5,42405,180,42225,20320,201240,43540,45265,42145,37655,32635,86660,31005,28190,22390,5075
"February 2022",329280,5,42050,175,41870,20005,201545,43750,45510,42090,37730,32465,85680,30725,27780,22265,4915
"March 2022",315615,5,40830,155,40680,19440,192315,41875,43560,39980,35980,30925,82465,29495,26740,21480,4745
"April 2022",301325,5,38740,175,38565,18550,183115,39905,41285,38170,34300,29455,79465,28155,25775,20920,4620
"May 2022",294425,5,37380,170,37205,17780,179155,38780,40145,37595,33645,28990,77890,27485,25305,20490,4610
"June 2022",288725,0,37050,150,36900,17650,175465,37755,39325,36990,33165,28225,76210,26850,24580,20195,4590
"July 2022",281180,0,37365,160,37205,17955,169990,36545,38090,35840,32265,27255,73825,25910,23815,19625,4475
"August 2022",279570,0,38230,170,38060,18320,168545,36290,37800,35575,31945,26935,72790,25520,23355,19480,4435
"September 2022",280875,0,38945,160,38785,18480,169605,36425,37830,36015,32260,27080,72320,25470,23145,19285,4420
"October 2022",278680,0,39295,145,39150,18745,168020,35900,37405,35640,32175,26900,71365,25070,22760,19115,4425
"November 2022",279760,0,39750,150,39600,19135,168200,35870,37330,35805,32085,27110,71810,25175,22790,19390,4455
