
"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Total"
"Age        :","All categories: Age 16+"
"measure    :","Claimant count"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",116420,309610,218205,157190,258825,199220,481755,285175,162855,108560,205320,55410
"February 2021",119940,323005,227120,165630,269985,210925,506800,300435,171590,112990,212200,57655
"March 2021",119370,322500,227100,165265,269485,210510,509070,299550,171255,112150,211930,57110
"April 2021",116825,316840,223040,162350,264735,207355,504265,293270,167145,109765,207225,56660
"May 2021",110485,298425,210045,151925,251650,191830,476050,270110,152650,102815,193365,53520
"June 2021",103720,279115,197370,141540,238820,175490,440095,246810,138335,95050,179055,50590
"July 2021",101080,272235,193240,137985,233985,170980,431135,240785,133940,92255,175325,49825
"August 2021",97510,262750,186810,133155,226920,163705,411035,229695,127225,88455,168240,48830
"September 2021",93705,250070,179020,126750,218340,154240,387505,216375,119645,84325,155505,47205
"October 2021",89975,240750,172835,122485,211355,148325,372890,208830,115545,81350,147615,45785
"November 2021",86220,231620,166620,117680,204315,142945,356170,201050,111185,78830,142245,42840
"December 2021",83380,223225,160785,113200,197680,138230,342080,194330,107370,76520,137860,40665
"January 2022",82570,219420,157835,110930,194520,134795,330310,190275,105645,75865,136105,39220
"February 2022",82190,220615,157760,111665,195900,134515,329280,189650,105385,75715,135105,39090
"March 2022",79030,215260,153625,108375,192385,129110,315615,182640,101405,73165,129185,37875
"April 2022",73785,205205,147315,103195,185960,121850,301325,173085,94080,67910,121360,37110
"May 2022",71785,200430,143070,100375,181005,117460,294425,166720,89540,65555,116055,35795
"June 2022",69980,196715,139500,98435,178245,114170,288725,163055,86935,64155,113095,35495
"July 2022",68850,193870,137880,96915,175915,112135,281180,160335,84520,62885,113155,35695
"August 2022",68785,193380,137135,97165,175335,111900,279570,160345,84230,63350,112805,36045
"September 2022",68490,191665,135770,96195,174445,110940,280875,159990,84035,62440,109195,35840
"October 2022",67260,188440,133255,94250,172685,109400,278680,158910,82750,60950,106930,35825
"November 2022",68275,190120,134730,95745,174655,110235,279760,159805,84740,61745,108730,35470
"December 2022",68895,191305,135515,97400,175305,111255,280515,161015,86025,62295,109940,35750
"January 2023",68295,190115,135040,97675,173830,110580,275385,160020,85690,61685,109525,34985
"February 2023",68790,193930,137285,100205,176200,112315,279790,161775,86770,62835,111155,35475
"March 2023",70330,199250,140690,102265,180635,114545,284745,163540,87650,64035,114060,36175
"April 2023",70515,201345,143230,103655,185130,117120,291385,165005,88295,64665,116435,37665
"May 2023",66720,193475,137760,100245,179550,113785,285085,159795,84555,61885,110795,35435
"June 2023",66635,193100,137885,100645,179770,114405,289565,161325,85170,61810,110585,35575
